Assignment 1,Points,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
#,Date,Change,,grade,Source Points,Early/Late,Weighted Grade,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest,PointPrintTest,TestsTestSuite,PointAngleSuite:Angle correctly computed for diferent values of X and Y,PointMainTest,PointTranslationTest,PointRadiusTest
0,Fri Aug 26 14:02:46 EDT 2016,20.3,,20.3,,1.0,20.0,3.0,0.0,3.3,0.0,4.0,10.0,,,,,,
1,Fri Aug 26 15:23:33 EDT 2016,0.0,,20.3,,1.0,20.0,3.0,0.0,3.3,0.0,4.0,10.0,,,,,,
2,Fri Aug 26 15:24:36 EDT 2016,0.0,,20.3,,1.0,20.0,,,,,,,,,,,,
3,Fri Aug 26 15:53:23 EDT 2016,0.0,,20.3,,1.0,20.0,3.0,0.0,3.3,0.0,4.0,10.0,,,,,,
4,Fri Aug 26 16:01:29 EDT 2016,0.0,,20.3,,1.0,20.0,3.0,0.0,3.3,0.0,4.0,10.0,,,,,,
5,Fri Aug 26 16:05:18 EDT 2016,0.0,,20.3,,1.0,20.0,3.0,0.0,3.3,0.0,4.0,10.0,,,,,,
6,Fri Aug 26 17:23:04 EDT 2016,0.0,,20.3,,1.0,20.0,3.0,0.0,3.3,0.0,4.0,10.0,,,,,,
7,Fri Aug 26 17:26:48 EDT 2016,0.0,,20.3,,1.0,20.0,,,,,,,,,,,,
